Date,Team,xG,xA,xPTS,match_or_not
22/10/2021,Arsenal,3.50,1.41,2.64,1
22/10/2021,Aston Villa,1.41,3.50,0.25,1
23/10/2021,Chelsea,3.11,0.27,2.92,1
23/10/2021,Watford,3.10,1.84,2.22,1
23/10/2021,Manchester City,3.57,1.17,2.78,1
23/10/2021,Southampton,1.43,0.67,2.01,1
23/10/2021,Burnley,0.67,1.43,0.71,1
23/10/2021,Crystal Palace,2.26,0.72,2.50,1
23/10/2021,Newcastle United,0.72,2.26,0.34,1
23/10/2021,Wolverhampton Wanderers,0.86,1.71,0.66,1
23/10/2021,Leeds,1.71,0.86,2.09,1
23/10/2021,Everton,1.84,3.10,0.60,1
23/10/2021,Brighton,1.17,3.57,0.14,1
23/10/2021,Norwich,0.27,3.11,0.05,1
24/10/2021,Liverpool,4.05,1.36,2.78,1
24/10/2021,Leicester,1.00,1.17,1.18,1
24/10/2021,West Ham,1.73,0.67,2.25,1
24/10/2021,Brentford,1.17,1.00,1.50,1
24/10/2021,Tottenham,0.67,1.73,0.52,1
24/10/2021,Manchester United,1.36,4.05,0.15,1
30/10/2021,Chelsea,2.17,0.16,2.86,1
30/10/2021,Manchester United,1.39,1.16,1.52,1
30/10/2021,Burnley,2.73,0.83,2.61,1
30/10/2021,Crystal Palace,1.05,0.66,1.73,1
30/10/2021,Arsenal,1.10,1.99,0.69,1
30/10/2021,Southampton,1.91,0.85,2.21,1
30/10/2021,Liverpool,1.40,1.51,1.25,1
30/10/2021,Brighton,1.51,1.40,1.48,1
30/10/2021,Watford,0.85,1.91,0.57,1
30/10/2021,Brentford,0.83,2.73,0.27,1
30/10/2021,Leicester,1.99,1.10,2.08,1
30/10/2021,Manchester City,0.66,1.05,0.94,1
30/10/2021,Tottenham,1.16,1.39,1.17,1
30/10/2021,Newcastle United,0.16,2.17,0.08,1
31/10/2021,West Ham,2.66,0.69,2.76,1
31/10/2021,Leeds,1.17,0.66,1.82,1
31/10/2021,Norwich,0.66,1.17,0.87,1
