,HomeTeam_0,HomeTeam_1,HomeTeam_2,HomeTeam_3,HomeTeam_4,HomeTeam_5,AwayTeam_0,AwayTeam_1,AwayTeam_2,AwayTeam_3,AwayTeam_4,AwayTeam_5,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS
34,0,0,0,0,1,0,0,0,1,0,0,0,D,5,5,7,6,1.3838209982788297,0.6878245816503173,1.4125793421811885,0.7917383820998278
35,0,0,0,0,1,1,0,0,1,0,1,0,A,3,6,6,8,0.024096385542168672,0.05308713214079631,0.8147720715522215,0.9862306368330465
36,0,0,0,1,0,0,0,0,0,0,1,1,D,5,4,11,5,0.09466437177280551,0.21465666474321984,0.3485285631852279,0.4268502581755594
37,0,0,0,1,1,0,0,0,1,0,0,1,H,6,3,6,2,0.41308089500860584,0.482400461627236,0.10848240046162723,0.1153184165232358
38,0,0,0,1,1,1,0,0,0,1,1,0,H,7,4,8,7,1.3218588640275388,0.6693594922100404,0.8309290248124639,0.9259896729776248
39,0,0,1,1,0,0,0,0,1,0,0,0,D,5,11,4,10,0.03442340791738382,0.06693594922100403,1.4125793421811885,0.7917383820998278
40,0,0,0,0,1,1,0,1,0,1,0,0,D,1,5,6,6,0.024096385542168672,0.05308713214079631,0.22619734564339297,0.20137693631669537
41,0,0,1,1,0,1,0,0,0,1,1,0,A,5,2,5,3,0.08777969018932874,0.09001731102135026,0.8309290248124639,0.9259896729776248
42,0,0,0,1,1,0,0,0,0,1,0,0,H,6,5,10,6,0.41308089500860584,0.482400461627236,0.6001154068090017,0.6316695352839932
43,0,0,0,1,1,1,0,0,0,0,0,1,H,8,7,9,4,1.3218588640275388,0.6693594922100404,1.2740911713791114,0.7848537005163511
44,0,0,1,0,1,0,0,1,0,0,0,0,H,7,1,4,4,1.3838209982788297,0.641661858049625,0.5354875937680322,0.7900172117039588
45,0,0,1,1,1,0,0,0,0,1,0,1,A,5,9,7,7,0.37005163511187605,0.48701673398730516,0.9394114252740912,0.9277108433734941
46,0,1,0,0,0,1,0,0,1,1,0,0,D,4,3,5,6,0.8605851979345956,0.9301788805539527,1.3848817080207732,0.6712564543889846
47,0,0,0,1,0,0,0,0,1,1,1,1,D,6,6,4,11,0.09466437177280551,0.21465666474321984,0.28159261396422386,0.3580034423407918
48,0,0,1,0,0,1,0,0,0,0,1,0,H,7,5,11,3,1.1790017211703958,0.8909405654933641,0.7639930755914599,0.9259896729776248
49,0,0,1,0,1,1,0,1,0,0,1,0,H,13,2,8,4,1.4337349397590362,0.7593768032313907,0.05077899596076168,0.06884681583476764
