,HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTGS,ATGS,HTGC,ATGC,HomeTeam_0,HomeTeam_1,HomeTeam_2,HomeTeam_3,HomeTeam_4,HomeTeam_5,AwayTeam_0,AwayTeam_1,AwayTeam_2,AwayTeam_3,AwayTeam_4,AwayTeam_5
96,West Ham,Arsenal,A,0,2,A,11,13,3,5,15,11,5,4,1,0,0,0,11,15,12,9,0,1,0,0,1,1,0,0,1,0,0,0
97,Aston Villa,Sunderland,D,0,0,D,17,7,4,3,11,17,7,3,1,3,0,0,11,8,8,11,0,1,0,1,0,0,0,1,0,0,0,0
98,Southampton,Man City,A,0,1,A,19,11,6,4,10,15,9,3,1,2,0,0,12,12,13,14,0,1,0,0,1,0,0,0,0,0,0,1
99,Arsenal,Man City,H,1,0,H,22,6,14,2,6,13,10,4,0,3,0,1,15,12,9,14,0,0,1,0,1,1,0,0,0,0,0,1
100,Aston Villa,Charlton,H,2,0,H,12,7,7,4,13,11,9,6,3,2,0,0,13,16,9,16,0,1,0,1,0,0,0,0,1,1,1,1
101,Chelsea,Tottenham,H,2,0,H,9,6,7,3,12,14,2,3,3,3,0,0,19,15,14,14,0,0,0,0,1,0,0,0,1,1,1,0
102,Ipswich,Middlesbrough,H,2,0,H,19,7,11,3,8,17,6,1,0,2,0,0,14,15,11,16,0,0,1,1,0,1,0,0,0,0,1,1
103,Leicester,Derby,H,1,1,D,9,7,5,2,9,18,7,3,0,3,0,0,7,15,6,26,0,0,0,1,1,0,0,1,0,0,0,1
104,Man United,Southampton,H,2,0,H,16,12,8,5,5,9,7,7,0,0,0,0,26,12,8,15,0,0,1,0,1,0,0,0,0,1,0,0
105,Sunderland,Coventry,H,0,0,D,11,10,7,4,17,10,1,3,2,2,0,0,8,11,11,21,0,0,1,0,0,0,0,1,0,0,1,0
106,West Ham,Newcastle,H,0,0,D,11,12,4,5,15,10,3,8,3,2,0,0,12,11,14,9,0,1,0,0,1,1,0,0,1,0,1,0
107,Bradford,Leeds,D,1,0,H,11,12,6,9,15,15,5,9,3,4,0,0,4,15,16,14,0,0,1,1,0,0,0,1,0,1,0,0
108,Liverpool,Everton,H,1,1,D,10,9,8,7,10,10,9,6,0,1,0,1,17,13,13,16,0,0,0,1,1,1,0,0,0,1,0,1
109,Charlton,Bradford,H,2,0,H,11,12,7,8,10,20,3,6,0,1,0,1,16,4,16,16,0,0,0,0,0,1,0,0,0,1,1,1
110,Coventry,Man United,A,0,2,A,4,11,2,6,17,8,3,9,1,1,0,0,11,31,22,8,0,0,0,0,1,1,0,0,1,1,0,1
111,Leeds,Liverpool,H,1,2,A,10,14,7,8,18,18,7,7,1,4,0,0,19,20,17,14,0,0,0,1,0,1,0,0,1,0,1,1
112,Man City,Leicester,A,0,0,D,14,3,3,2,12,14,9,4,1,2,0,0,14,9,19,7,0,1,0,0,0,0,0,1,0,0,1,1
113,Middlesbrough,Arsenal,A,0,1,A,4,11,3,8,10,11,5,8,1,1,1,0,16,22,18,10,0,0,1,1,1,0,0,0,1,0,0,0
114,Newcastle,Ipswich,H,1,1,D,11,8,6,5,13,7,7,4,1,0,0,0,11,16,10,12,0,1,0,0,0,1,0,0,1,0,0,1
115,Southampton,Chelsea,H,2,0,H,10,9,4,4,16,11,7,7,4,2,0,0,12,22,20,14,0,1,0,0,1,0,0,0,1,1,0,0
