,HomeTeam,AwayTeam,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTGS,ATGS,HTGC,ATGC,HomeTeam_0,HomeTeam_1,HomeTeam_2,HomeTeam_3,HomeTeam_4,HomeTeam_5,AwayTeam_0,AwayTeam_1,AwayTeam_2,AwayTeam_3,AwayTeam_4,AwayTeam_5
3622,Man United,Burnley,H,0,0,D,24,11,11,5,12,7,7,1,0,0,0,0,45,22,18,40,0,0,1,0,1,0,1,0,0,1,0,1
3623,Stoke,Liverpool,D,0,0,D,6,4,5,3,14,10,10,0,1,2,0,0,18,37,25,25,1,0,0,1,0,0,0,0,1,0,1,1
3624,Tottenham,Hull,D,0,0,D,25,8,18,2,14,11,14,1,4,2,0,0,42,20,22,42,0,0,1,0,0,1,1,0,0,1,0,0
3625,Wolves,Wigan,A,0,0,D,9,20,4,14,14,16,4,3,4,3,1,1,17,23,36,44,0,1,1,1,0,0,0,1,1,1,1,1
3626,Aston Villa,West Ham,D,0,0,D,17,8,10,3,7,12,16,4,1,3,0,0,29,28,18,37,0,1,0,1,0,0,0,0,0,0,1,0
3627,Blackburn,Fulham,H,1,0,H,11,14,7,9,14,9,3,6,1,3,0,0,20,26,35,22,0,1,0,1,1,0,0,1,0,1,1,1
3628,Bolton,Arsenal,A,0,1,A,12,14,6,9,13,5,2,4,1,2,0,0,28,53,42,23,0,1,0,1,0,1,0,0,1,0,0,0
3629,Arsenal,Bolton,H,1,2,A,20,7,14,4,16,17,9,3,1,2,0,0,53,28,23,42,0,0,1,0,1,1,0,1,0,1,1,0
3630,Liverpool,Tottenham,H,1,0,H,13,7,5,5,11,17,2,3,2,3,0,0,38,42,26,22,0,0,0,1,1,1,0,0,1,1,1,0
3631,Man United,Hull,H,1,0,H,25,8,15,4,6,10,12,8,1,1,0,0,46,20,19,42,0,0,1,0,1,0,1,0,0,1,0,0
3632,Bolton,Burnley,H,1,0,H,14,10,6,5,12,11,4,7,3,2,0,0,29,22,42,43,0,1,0,1,0,1,1,0,0,1,0,1
3633,Portsmouth,West Ham,D,0,0,D,14,12,8,4,16,9,6,4,3,1,0,0,19,28,33,37,0,1,1,0,1,1,0,0,0,0,1,0
3634,Tottenham,Fulham,H,1,0,H,13,9,7,6,11,16,11,3,1,1,0,0,42,26,22,24,0,0,1,0,0,1,0,1,0,1,1,1
3635,Wolves,Liverpool,D,0,0,D,6,6,4,3,10,11,0,7,0,1,0,0,17,38,38,26,0,1,1,1,0,0,0,0,1,0,1,1
3636,Aston Villa,Arsenal,D,0,0,D,8,12,2,8,16,15,7,7,2,2,0,0,29,55,18,23,0,1,0,1,0,0,0,0,1,0,0,0
3637,Blackburn,Wigan,H,1,0,H,13,13,7,8,20,13,5,6,3,1,0,0,21,24,39,46,0,1,0,1,1,0,0,1,1,1,1,1
3638,Chelsea,Birmingham,H,2,0,H,25,5,17,3,11,8,8,3,0,0,0,0,52,21,18,19,0,0,0,0,1,0,0,1,1,0,1,0
3639,Everton,Sunderland,H,2,0,H,11,5,7,3,10,19,3,8,0,1,0,0,30,30,34,38,0,0,1,1,1,1,0,1,0,0,0,0
3640,Birmingham,Tottenham,D,0,0,D,12,21,6,12,12,8,5,8,4,2,0,0,21,42,22,24,0,1,1,0,0,0,0,0,1,1,1,0
3641,Burnley,Chelsea,A,0,1,A,5,16,3,9,12,12,2,9,1,1,0,0,22,55,44,18,1,0,0,1,0,1,0,0,1,1,0,0
3642,Fulham,Aston Villa,A,0,2,A,15,9,8,6,10,15,9,3,0,2,0,0,26,29,26,18,0,1,0,1,1,1,0,0,0,1,1,0
3643,Hull,Wolves,D,1,0,H,8,13,4,4,15,10,4,7,2,0,0,0,20,17,46,38,1,0,0,0,1,1,0,1,1,0,1,1
3644,Liverpool,Bolton,H,1,0,H,13,4,6,1,12,10,11,3,1,3,0,0,40,29,26,44,0,0,0,1,1,1,0,1,0,1,1,0
3645,West Ham,Blackburn,D,0,0,D,7,8,6,4,17,13,10,7,0,1,0,0,29,23,38,39,0,1,0,0,1,1,0,1,0,1,0,1
3646,Wigan,Everton,A,0,0,D,10,10,4,7,19,10,4,7,0,2,0,0,24,32,47,34,0,1,1,1,1,1,0,0,0,1,0,1
3647,Arsenal,Man United,A,0,2,A,18,11,7,5,9,12,8,5,1,0,0,0,59,49,25,19,0,0,1,0,1,1,0,0,1,1,0,1
3648,Man City,Portsmouth,H,2,0,H,13,10,6,4,9,14,10,7,1,3,0,0,44,19,30,35,0,1,0,0,0,0,0,1,1,1,0,0
3649,Sunderland,Stoke,D,0,0,D,6,4,5,3,7,16,7,3,2,3,0,0,30,19,40,26,0,0,1,0,0,0,1,0,0,0,1,1
3650,Hull,Chelsea,D,1,1,D,7,21,3,11,9,12,6,8,1,3,0,0,22,57,48,19,1,0,0,0,1,1,0,0,1,1,0,0
3651,Fulham,Portsmouth,H,0,0,D,14,12,9,8,12,12,5,5,0,1,0,0,26,19,28,36,0,1,0,1,1,1,0,1,1,1,0,0
3652,Bolton,Fulham,D,0,0,D,16,7,11,4,8,12,2,5,0,0,0,0,29,26,44,28,0,1,0,1,0,1,0,1,0,1,1,1
3653,Burnley,West Ham,H,1,0,H,8,20,4,11,15,13,3,5,2,1,0,0,23,29,46,38,1,0,0,1,0,1,0,0,0,0,1,0
3654,Hull,Man City,H,1,0,H,8,17,4,11,14,14,4,8,2,4,0,0,22,45,48,32,1,0,0,0,1,1,0,0,0,0,0,1
3655,Liverpool,Everton,H,0,0,D,9,6,4,3,11,23,8,8,3,3,1,1,40,33,26,34,0,0,0,1,1,1,0,0,0,1,0,1
3656,Man United,Portsmouth,H,2,0,H,21,7,8,5,9,11,12,1,1,4,0,0,53,19,19,36,0,0,1,0,1,0,0,1,1,1,0,0
3657,Stoke,Blackburn,H,2,0,H,15,9,11,4,13,20,12,7,2,3,0,1,22,25,26,40,1,0,0,1,0,0,0,1,0,1,0,1
3658,Sunderland,Wigan,D,0,1,A,11,14,8,6,12,14,2,3,4,5,0,0,30,25,40,48,0,0,1,0,0,0,0,1,1,1,1,1
3659,Tottenham,Aston Villa,D,0,0,D,28,10,15,5,10,13,12,4,0,0,0,0,44,31,24,18,0,0,1,0,0,1,0,0,0,1,1,0
3660,Birmingham,Wolves,H,0,1,A,15,12,10,5,12,18,11,4,5,3,0,0,24,20,24,42,0,1,1,0,0,0,0,1,1,0,1,1
3661,Chelsea,Arsenal,H,2,0,H,9,14,3,6,11,14,4,8,2,2,0,0,58,60,20,28,0,0,0,0,1,0,0,0,1,0,0,0
3662,Fulham,Burnley,H,2,0,H,16,10,12,3,9,9,6,2,1,0,0,0,27,25,28,47,0,1,0,1,1,1,1,0,0,1,0,1
3663,Man City,Bolton,H,1,0,H,8,11,4,5,8,18,6,3,0,2,0,0,47,29,32,46,0,1,0,0,0,0,0,1,0,1,1,0
3664,Portsmouth,Sunderland,D,0,1,A,12,7,6,2,10,15,8,4,3,1,1,2,19,31,41,41,0,1,1,0,1,1,0,1,0,0,0,0
3665,Wigan,Stoke,D,1,0,H,16,10,11,6,12,7,9,5,2,3,0,0,26,23,49,27,0,1,1,1,1,1,1,0,0,0,1,1
3666,Arsenal,Liverpool,H,0,0,D,11,9,6,7,19,13,3,6,3,2,0,0,60,42,28,26,0,0,1,0,1,1,0,0,1,0,1,1
3667,Aston Villa,Man United,D,1,1,D,10,12,6,6,9,10,1,7,0,1,0,1,31,56,18,20,0,1,0,1,0,0,0,0,1,1,0,1
3668,Blackburn,Hull,H,1,0,H,20,7,10,4,14,13,6,6,1,3,0,1,25,23,40,49,0,1,0,1,1,0,1,0,0,1,0,0
3669,Everton,Chelsea,H,1,1,D,7,14,5,5,13,15,5,6,1,2,0,0,33,58,35,20,0,0,1,1,1,1,0,0,1,1,0,0
3670,West Ham,Birmingham,H,1,0,H,13,9,10,4,12,9,3,6,1,2,0,0,32,24,40,26,0,1,0,0,1,1,0,1,1,0,1,0
3671,Wolves,Tottenham,H,1,0,H,8,10,4,4,15,10,5,7,2,1,0,0,21,45,42,25,0,1,1,1,0,0,0,0,1,1,1,0
3672,Stoke,Man City,D,0,0,D,8,9,5,3,21,14,3,3,3,3,1,0,24,48,28,33,1,0,0,1,0,0,0,0,0,0,0,1
3673,Wigan,Bolton,D,0,0,D,10,8,1,0,6,9,4,9,0,1,0,0,26,29,49,46,0,1,1,1,1,1,0,1,0,1,1,0
3674,Arsenal,Sunderland,H,1,0,H,16,6,10,4,8,10,7,1,1,5,0,0,60,32,30,42,0,0,1,0,1,1,0,1,0,0,0,0
3675,Everton,Man United,H,1,1,D,11,11,7,5,12,10,4,12,5,1,0,0,35,61,36,20,0,0,1,1,1,1,0,0,1,1,0,1
3676,Portsmouth,Stoke,A,1,0,H,15,14,12,7,10,10,7,7,2,1,0,1,20,24,42,28,0,1,1,0,1,1,1,0,0,0,1,1
3677,West Ham,Hull,H,1,0,H,20,7,12,3,13,12,9,2,1,1,0,1,32,25,40,50,0,1,0,0,1,1,1,0,0,1,0,0
3678,Wolves,Chelsea,A,0,1,A,11,7,7,2,12,14,1,5,0,1,0,0,21,60,42,20,0,1,1,1,0,0,0,0,1,1,0,0
3679,Aston Villa,Burnley,H,1,1,D,15,13,8,10,5,12,9,5,0,3,0,0,32,25,19,50,0,1,0,1,0,0,1,0,0,1,0,1
3680,Blackburn,Bolton,H,1,0,H,12,10,7,7,15,12,8,3,0,1,0,0,26,29,43,49,0,1,0,1,1,0,0,1,0,1,1,0
3681,Fulham,Birmingham,H,0,1,A,11,9,6,6,9,16,3,1,1,1,0,0,30,25,28,28,0,1,0,1,1,1,0,1,1,0,1,0
3682,Man City,Liverpool,D,0,0,D,4,6,1,2,7,15,8,5,1,6,0,0,48,43,33,27,0,1,0,0,0,0,0,0,1,0,1,1
3683,Wigan,Tottenham,A,0,1,A,8,13,7,12,17,13,3,2,3,4,0,0,26,45,52,26,0,1,1,1,1,1,0,0,1,1,1,0
3684,Man United,West Ham,H,1,0,H,12,10,9,4,10,12,6,7,0,1,0,0,62,35,21,40,0,0,1,0,1,0,0,0,0,0,1,0
3685,Birmingham,Wigan,H,1,0,H,10,11,5,2,16,18,2,7,1,3,0,0,25,26,28,52,0,1,1,0,0,0,0,1,1,1,1,1
3686,Bolton,Wolves,H,1,0,H,16,6,9,4,10,6,7,11,0,2,0,0,29,21,49,44,0,1,0,1,0,1,0,1,1,0,1,1
3687,Burnley,Portsmouth,A,1,1,D,14,13,8,5,12,13,4,3,1,2,0,1,27,21,55,44,1,0,0,1,0,1,0,1,1,1,0,0
3688,Chelsea,Man City,A,1,1,D,23,8,13,6,21,12,3,2,3,1,2,0,61,48,22,33,0,0,0,0,1,0,0,0,0,0,0,1
3689,Stoke,Arsenal,A,1,1,D,4,17,3,11,12,7,3,6,0,1,1,0,26,61,29,30,1,0,0,1,0,0,0,0,1,0,0,0
3690,Liverpool,Blackburn,H,2,1,H,12,12,6,7,10,22,4,5,1,5,0,0,43,29,27,43,0,0,0,1,1,1,0,1,0,1,0,1
3691,Sunderland,Fulham,D,0,0,D,12,3,5,1,15,16,2,2,3,3,0,0,32,32,44,29,0,0,1,0,0,0,0,1,0,1,1,1
3692,Tottenham,Everton,H,2,0,H,13,14,9,10,9,18,6,9,1,4,0,0,48,39,26,39,0,0,1,0,0,1,0,0,0,1,0,1
3693,Arsenal,Burnley,H,1,0,H,20,8,11,5,5,12,8,2,0,4,0,0,63,28,30,57,0,0,1,0,1,1,1,0,0,1,0,1
3694,West Ham,Bolton,A,0,2,A,18,15,8,7,13,21,6,3,2,5,0,1,35,30,43,49,0,1,0,0,1,1,0,1,0,1,1,0
3695,Wolves,Man United,A,0,0,D,12,15,6,6,9,8,2,4,2,1,0,0,21,63,45,24,0,1,1,1,0,0,0,0,1,1,0,1
3696,Everton,Hull,H,2,1,H,18,7,10,4,12,21,4,1,0,1,0,0,39,25,39,54,0,0,1,1,1,1,1,0,0,1,0,0
3697,Wigan,Liverpool,H,1,0,H,12,11,4,3,15,14,4,7,1,5,0,0,26,43,53,27,0,1,1,1,1,1,0,0,1,0,1,1
3698,Portsmouth,Birmingham,A,0,2,A,11,10,8,6,12,13,5,6,1,2,0,0,23,26,45,28,0,1,1,0,1,1,0,1,1,0,1,0
3699,Sunderland,Bolton,H,1,0,H,12,7,7,2,14,10,2,7,2,2,0,1,32,30,44,49,0,0,1,0,0,0,0,1,0,1,1,0
3700,Burnley,Stoke,D,0,1,A,10,8,3,3,12,10,4,4,2,0,0,0,29,28,60,33,1,0,0,1,0,1,1,0,0,0,1,1
3701,Birmingham,Everton,D,1,2,A,7,13,4,11,10,11,5,4,1,1,0,0,28,44,29,40,0,1,1,0,0,0,0,0,0,1,0,1
3702,Bolton,Wigan,H,1,0,H,8,13,6,7,20,13,3,6,1,2,0,0,32,27,50,53,0,1,0,1,0,1,0,1,1,1,1,1
3703,Burnley,Wolves,A,0,1,A,22,7,11,3,10,21,11,6,1,4,0,0,29,21,60,46,1,0,0,1,0,1,0,1,1,0,1,1
3704,Chelsea,West Ham,H,1,1,D,22,4,15,2,13,10,11,1,0,1,0,0,65,36,26,45,0,0,0,0,1,0,0,0,0,0,1,0
3705,Hull,Arsenal,A,1,1,D,7,18,2,9,16,13,2,8,2,2,1,0,26,66,59,31,1,0,0,0,1,1,0,0,1,0,0,0
3706,Stoke,Aston Villa,D,0,0,D,13,10,6,5,6,6,8,6,0,4,0,0,28,39,33,22,1,0,0,1,0,0,0,0,0,1,1,0
3707,Tottenham,Blackburn,H,1,0,H,14,10,7,7,12,7,5,6,0,0,0,0,50,30,27,45,0,0,1,0,0,1,0,1,0,1,0,1
3708,Man United,Fulham,H,0,0,D,33,8,19,5,7,11,11,1,1,1,0,0,66,32,24,29,0,0,1,0,1,0,0,1,0,1,1,1
3709,Sunderland,Man City,D,1,0,H,12,13,7,9,12,10,3,7,2,4,0,0,36,53,44,36,0,0,1,0,0,0,0,0,0,0,0,1
3710,Liverpool,Portsmouth,H,3,0,H,23,7,12,3,10,15,8,4,0,2,0,0,45,25,29,51,0,0,0,1,1,1,0,1,1,1,0,0
3711,Wigan,Aston Villa,A,1,1,D,10,18,6,10,10,14,7,8,2,1,0,0,27,41,57,24,0,1,1,1,1,1,0,0,0,1,1,0
3712,Arsenal,West Ham,H,1,0,H,9,8,5,4,7,24,4,2,1,4,1,0,69,37,32,49,0,0,1,0,1,1,0,0,0,0,1,0
3713,Aston Villa,Wolves,D,1,2,A,11,7,3,4,10,12,7,5,1,2,0,0,41,23,24,47,0,1,0,1,0,0,0,1,1,0,1,1
3714,Everton,Bolton,H,0,0,D,18,6,11,4,12,17,6,3,1,1,0,1,46,32,42,54,0,0,1,1,1,1,0,1,0,1,1,0
3715,Portsmouth,Hull,H,1,1,D,18,9,10,5,7,8,11,1,1,0,0,0,25,27,51,61,0,1,1,0,1,1,1,0,0,1,0,0
3716,Stoke,Tottenham,A,0,0,D,8,16,4,9,7,9,6,7,2,2,1,0,28,53,33,28,1,0,0,1,0,0,0,0,1,1,1,0
3717,Sunderland,Birmingham,H,2,0,H,11,21,9,14,8,8,7,10,0,1,0,0,37,30,45,31,0,0,1,0,0,0,0,1,1,0,1,0
3718,Wigan,Burnley,H,0,0,D,21,13,11,8,10,15,5,3,1,3,0,0,27,30,57,61,0,1,1,1,1,1,1,0,0,1,0,1
3719,Blackburn,Chelsea,D,0,1,A,8,14,4,8,10,9,3,11,0,1,0,0,31,69,48,27,0,1,0,1,1,0,0,0,1,1,0,0
3720,Fulham,Man City,A,0,2,A,10,14,4,9,8,9,4,2,0,0,0,0,33,55,34,39,0,1,0,1,1,1,0,0,0,0,0,1
3721,Man United,Liverpool,H,1,1,D,10,4,5,2,10,15,1,2,2,3,0,0,70,49,24,30,0,0,1,0,1,0,0,0,1,0,1,1
3722,West Ham,Wolves,A,0,1,A,17,5,10,4,9,24,8,5,0,2,0,0,37,25,51,49,0,1,0,0,1,1,0,1,1,0,1,1
3723,Aston Villa,Sunderland,D,1,1,D,11,10,4,5,5,7,6,7,0,0,0,0,42,40,25,46,0,1,0,1,0,0,0,1,0,0,0,0
3724,Blackburn,Birmingham,H,1,0,H,9,8,7,5,18,10,5,6,2,1,0,0,32,31,49,34,0,1,0,1,1,0,0,1,1,0,1,0
3725,Man City,Everton,A,0,1,A,12,10,5,7,11,10,7,4,3,2,0,0,55,48,39,42,0,1,0,0,0,0,0,0,0,1,0,1
3726,Portsmouth,Chelsea,A,0,1,A,10,20,6,11,11,11,1,6,3,2,0,0,28,70,53,28,0,1,1,0,1,1,0,0,1,1,0,0
3727,Birmingham,Arsenal,D,0,0,D,7,13,3,8,13,13,3,6,3,2,0,0,31,71,34,33,0,1,1,0,0,0,0,0,1,0,0,0
3728,Bolton,Man United,A,0,1,A,14,13,10,8,14,15,11,6,0,0,0,0,36,70,54,24,0,1,0,1,0,1,0,0,1,1,0,1
3729,Chelsea,Aston Villa,H,2,1,H,13,7,11,5,12,5,8,6,3,2,0,0,70,42,28,25,0,0,0,0,1,0,0,0,0,1,1,0
3730,Hull,Fulham,H,1,0,H,7,12,4,9,11,15,6,8,2,4,0,0,31,33,64,36,1,0,0,0,1,1,0,1,0,1,1,1
3731,Tottenham,Portsmouth,H,2,0,H,16,8,8,3,5,9,11,2,0,1,0,0,57,28,29,58,0,0,1,0,0,1,0,1,1,1,0,0
3732,West Ham,Stoke,A,0,0,D,17,12,7,7,14,17,6,7,0,2,0,0,38,30,54,35,0,1,0,0,1,1,1,0,0,0,1,1
3733,Wolves,Everton,D,0,0,D,9,22,2,13,14,12,3,7,1,1,0,0,28,50,50,42,0,1,1,1,0,0,0,0,0,1,0,1
3734,Burnley,Blackburn,A,0,1,A,7,12,3,5,15,12,7,2,3,2,0,0,31,34,64,50,1,0,0,1,0,1,0,1,0,1,0,1
3735,Liverpool,Sunderland,H,2,0,H,25,7,16,2,11,9,9,2,0,1,0,0,50,41,32,47,0,0,0,1,1,1,0,1,0,0,0,0
3736,Man City,Wigan,H,0,0,D,10,9,8,3,12,13,3,4,3,2,0,1,58,29,39,59,0,1,0,0,0,0,0,1,1,1,1,1
3737,Arsenal,Wolves,H,0,0,D,23,3,13,2,10,13,10,4,0,2,0,1,73,28,33,50,0,0,1,0,1,1,0,1,1,0,1,1
3738,Bolton,Aston Villa,A,0,1,A,14,13,10,9,13,14,6,8,2,0,0,0,36,43,56,32,0,1,0,1,0,1,0,0,0,1,1,0
3739,Burnley,Man City,A,0,5,A,14,20,7,14,5,8,6,7,0,0,0,0,31,58,64,39,1,0,0,1,0,1,0,0,0,0,0,1
3740,Man United,Chelsea,A,0,1,A,9,11,3,5,14,11,3,3,3,1,0,0,76,82,25,29,0,0,1,0,1,0,0,0,1,1,0,0
3741,Portsmouth,Blackburn,D,0,0,D,6,16,3,8,11,10,1,9,2,1,1,0,28,35,60,50,0,1,1,0,1,1,0,1,0,1,0,1
3742,Stoke,Hull,H,1,0,H,9,5,3,3,12,12,3,2,3,2,0,0,32,31,35,66,1,0,0,1,0,0,1,0,0,1,0,0
3743,Sunderland,Tottenham,H,2,0,H,11,12,10,9,16,15,6,6,2,0,0,0,41,58,50,32,0,0,1,0,0,0,0,0,1,1,1,0
3744,Birmingham,Liverpool,D,0,0,D,8,16,3,8,14,9,5,4,2,1,0,0,33,53,37,32,0,1,1,0,0,0,0,0,1,0,1,1
3745,Everton,West Ham,D,1,0,H,10,10,5,5,7,17,2,8,2,3,0,0,50,38,42,55,0,0,1,1,1,1,0,0,0,0,1,0
3746,Fulham,Wigan,H,0,1,A,7,12,5,7,11,10,6,3,1,2,0,0,35,29,37,62,0,1,0,1,1,1,0,1,1,1,1,1
3747,Hull,Burnley,A,1,1,D,11,9,4,7,19,14,6,1,5,1,0,0,31,31,66,65,1,0,0,0,1,1,1,0,0,1,0,1
3748,West Ham,Sunderland,H,0,0,D,10,9,6,7,12,20,2,7,1,3,0,0,38,41,55,50,0,1,0,0,1,1,0,1,0,0,0,0
3749,Blackburn,Man United,D,0,0,D,8,13,7,6,14,12,1,7,1,2,0,0,35,76,50,25,0,1,0,1,1,0,0,0,1,1,0,1
3750,Liverpool,Fulham,D,0,0,D,18,2,9,2,6,16,10,1,1,3,0,0,54,35,33,37,0,0,0,1,1,1,0,1,0,1,1,1
3751,Man City,Birmingham,H,3,1,H,17,5,8,3,12,9,8,4,0,3,0,0,69,34,41,38,0,1,0,0,0,0,0,1,1,0,1,0
3752,Wolves,Stoke,D,0,0,D,10,9,8,1,7,4,7,6,0,0,0,0,28,32,51,35,0,1,1,1,0,0,1,0,0,0,1,1
3753,Chelsea,Bolton,H,1,0,H,18,7,8,2,13,22,5,2,1,4,0,0,84,36,30,61,0,0,0,0,1,0,0,1,0,1,1,0
3754,Aston Villa,Everton,D,0,1,A,10,13,7,10,11,9,7,6,2,2,0,0,46,52,34,44,0,1,0,1,0,0,0,0,0,1,0,1
3755,Tottenham,Arsenal,H,1,0,H,13,19,10,11,13,10,4,6,3,1,0,0,60,75,33,34,0,0,1,0,0,1,0,0,1,0,0,0
3756,Wigan,Portsmouth,D,0,0,D,24,6,14,2,16,9,10,3,2,1,0,0,30,28,64,60,0,1,1,1,1,1,0,1,1,1,0,0
3757,Birmingham,Hull,D,0,0,D,10,11,7,4,11,12,8,1,0,0,0,0,34,32,38,70,0,1,1,0,0,0,1,0,0,1,0,0
3758,Blackburn,Everton,A,0,1,A,15,11,10,4,15,10,4,2,3,2,0,0,35,52,50,44,0,1,0,1,1,0,0,0,0,1,0,1
3759,Fulham,Wolves,D,0,0,D,11,5,4,1,9,11,5,9,1,0,0,0,35,28,37,51,0,1,0,1,1,1,0,1,1,0,1,1
3760,Man City,Man United,A,0,0,D,8,13,5,3,8,12,7,5,2,1,0,0,69,77,42,27,0,1,0,0,0,0,0,0,1,1,0,1
3761,Stoke,Bolton,A,1,0,H,11,13,5,8,10,5,5,1,1,2,0,0,33,36,37,62,1,0,0,1,0,0,0,1,0,1,1,0
3762,Sunderland,Burnley,H,2,0,H,16,9,11,4,14,17,3,3,3,2,0,0,44,36,52,72,0,0,1,0,0,0,1,0,0,1,0,1
3763,Tottenham,Chelsea,H,2,0,H,20,9,10,6,7,14,13,4,2,4,0,1,62,85,34,30,0,0,1,0,0,1,0,0,1,1,0,0
3764,Portsmouth,Aston Villa,A,1,1,D,16,12,12,9,5,10,7,6,0,0,0,0,28,48,60,35,0,1,1,0,1,1,0,0,0,1,1,0
3765,Wigan,Arsenal,H,0,1,A,16,11,11,8,15,13,8,3,2,1,0,0,30,76,64,36,0,1,1,1,1,1,0,0,1,0,0,0
3766,Liverpool,West Ham,H,2,0,H,17,6,8,2,8,12,9,2,0,2,0,0,54,41,33,57,0,0,0,1,1,1,0,0,0,0,1,0
3767,Hull,Aston Villa,A,0,1,A,14,11,10,5,8,7,11,9,2,2,0,0,32,48,70,35,1,0,0,0,1,1,0,0,0,1,1,0
3768,Arsenal,Man City,D,0,0,D,9,3,4,2,13,14,5,1,4,2,0,0,76,69,36,42,0,0,1,0,1,1,0,0,0,0,0,1
3769,Bolton,Portsmouth,D,2,0,H,14,13,10,6,16,13,12,5,1,1,0,0,36,28,62,60,0,1,0,1,0,1,0,1,1,1,0,0
3770,Hull,Sunderland,A,0,1,A,14,10,8,5,12,17,3,6,1,3,1,1,32,46,72,53,1,0,0,0,1,1,0,1,0,0,0,0
3771,Man United,Tottenham,H,0,0,D,15,9,8,3,13,10,4,4,1,0,0,0,78,63,27,37,0,0,1,0,1,0,0,0,1,1,1,0
3772,West Ham,Wigan,H,2,1,H,9,12,7,10,9,10,4,5,1,2,0,0,41,33,60,66,0,1,0,0,1,1,0,1,1,1,1,1
3773,Wolves,Blackburn,D,0,1,A,14,12,5,8,9,8,4,4,0,1,0,0,28,37,51,53,0,1,1,1,0,0,0,1,0,1,0,1
3774,Aston Villa,Birmingham,H,0,0,D,10,16,6,14,12,16,7,5,1,4,0,0,50,35,35,43,0,1,0,1,0,0,0,1,1,0,1,0
3775,Burnley,Liverpool,A,0,0,D,12,12,6,10,13,11,4,5,2,1,0,0,37,57,74,33,1,0,0,1,0,1,0,0,1,0,1,1
3776,Chelsea,Stoke,H,3,0,H,29,3,18,2,14,12,7,0,0,3,0,0,86,33,32,44,0,0,0,0,1,0,1,0,0,0,1,1
3777,Everton,Fulham,H,0,1,A,15,8,9,6,7,12,9,3,0,1,0,0,57,36,48,39,0,0,1,1,1,1,0,1,0,1,1,1
3778,Birmingham,Burnley,H,2,0,H,13,12,4,7,11,10,6,8,2,1,0,0,35,37,43,74,0,1,1,0,0,0,1,0,0,1,0,1
3779,Man City,Aston Villa,H,2,1,H,17,10,12,6,6,9,13,5,1,2,0,0,69,50,42,35,0,1,0,0,0,0,0,0,0,1,1,0
3780,Portsmouth,Wolves,H,2,1,H,12,18,8,11,10,13,7,9,0,1,0,0,31,29,64,52,0,1,1,0,1,1,0,1,1,0,1,1
3781,Stoke,Everton,D,0,0,D,12,11,6,9,10,10,6,5,0,0,0,0,33,59,44,49,1,0,0,1,0,0,0,0,0,1,0,1
3782,Tottenham,Bolton,H,1,0,H,25,11,12,7,11,10,11,7,0,3,0,0,64,40,37,65,0,0,1,0,0,1,0,1,0,1,1,0
3783,Fulham,West Ham,H,1,0,H,5,7,3,5,10,14,9,3,0,0,0,0,39,44,41,62,0,1,0,1,1,1,0,0,0,0,1,0
3784,Liverpool,Chelsea,A,0,1,A,7,15,2,11,7,7,9,5,1,2,0,0,61,93,33,32,0,0,0,1,1,1,0,0,1,1,0,0
3785,Sunderland,Man United,A,0,1,A,10,14,2,9,10,9,9,4,3,2,0,0,47,81,53,28,0,0,1,0,0,0,0,0,1,1,0,1
3786,Blackburn,Arsenal,H,1,1,D,11,6,7,4,19,15,5,8,2,2,0,0,38,78,54,39,0,1,0,1,1,0,0,0,1,0,0,0
3787,Wigan,Hull,D,1,1,D,13,6,7,3,11,14,8,1,2,0,0,0,35,32,69,73,0,1,1,1,1,1,1,0,0,1,0,0
3788,Fulham,Stoke,A,0,0,D,12,5,6,2,7,6,8,3,1,3,0,0,39,33,41,44,0,1,0,1,1,1,1,0,0,0,1,1
3789,Man City,Tottenham,A,0,0,D,10,10,5,6,12,14,9,7,0,3,0,0,72,64,43,37,0,1,0,0,0,0,0,0,1,1,1,0
3790,Arsenal,Fulham,H,3,0,H,16,5,11,2,11,10,5,2,2,2,0,0,79,39,41,42,0,0,1,0,1,1,0,1,0,1,1,1
3791,Aston Villa,Blackburn,A,0,0,D,16,9,12,3,14,12,11,5,2,1,0,0,52,40,38,55,0,1,0,1,0,0,0,1,0,1,0,1
3792,Bolton,Birmingham,H,1,0,H,14,10,8,5,14,17,3,6,2,5,0,0,40,37,66,45,0,1,0,1,0,1,0,1,1,0,1,0
3793,Burnley,Tottenham,H,1,2,A,16,16,12,11,9,8,5,6,0,0,0,0,38,65,80,37,1,0,0,1,0,1,0,0,1,1,1,0
3794,Chelsea,Wigan,H,2,0,H,17,4,10,3,14,9,2,3,2,2,0,1,95,37,32,71,0,0,0,0,1,0,0,1,1,1,1,1
3795,Everton,Portsmouth,H,0,0,D,21,10,13,4,12,11,14,1,0,0,0,0,59,34,49,65,0,0,1,1,1,1,0,1,1,1,0,0
3796,Hull,Liverpool,D,0,0,D,11,19,6,7,15,11,2,6,1,0,0,0,34,61,75,35,1,0,0,0,1,1,0,0,1,0,1,1
3797,Man United,Stoke,H,2,0,H,18,4,13,4,10,4,10,2,2,0,0,0,82,34,28,44,0,0,1,0,1,0,1,0,0,0,1,1
3798,West Ham,Man City,D,1,1,D,12,17,8,6,12,7,4,3,2,0,0,0,46,72,65,44,0,1,0,0,1,1,0,0,0,0,0,1
